Name,Description,Latitude,Longitude,Layer,County
AlliCat Farm,,46.4019981,-93.7382913,Suppliers,Aitkin
Ardent Acres Farm Grass-fed Beef,,46.6672283,-93.5322153,Suppliers,Aitkin
Buck Hills Farm,location estimated,46.5372238,-93.5373197,Suppliers,Aitkin
Clear Lake Gardens,,46.4354812,-93.4966679,Suppliers,Aitkin
D & L Family Farm,Location estimated,46.2778291,-93.4484654,Suppliers,Aitkin
Dove Street Gardens,Location estimated,46.4953006,-93.5971407,Suppliers,Aitkin
Hollister Family Farm,,46.226472,-94.127184,Suppliers,Crow Wing
Hurd Family Farm,location estimated,46.5892316,-93.7004096,Suppliers,Aitkin
Maple Ridge Produce,,46.436571,-93.6430343,Suppliers,Aitkin
Ole Lake Farm,,46.414831,-93.603286,Suppliers,Aitkin
Willow Sedge Farm,Location estimated,46.81828,-93.3620129,Suppliers,Aitkin
Tony Bickford,,47.1454093,-93.3656975,Suppliers,Itasca
Allen Jackson,,47.1454093,-93.3656975,Suppliers,Itasca
Pampered Pork,,44.46832,-93.7530309,Suppliers,Le Sueur
The Early Birds,,44.9556538,-93.0220635,Suppliers,Ramsey
Greenstad,,44.2854414,-92.6608905,Suppliers,Goodhue
Belz Family Farm,,45.0150905,-92.3384726,Suppliers,St. Croix
Red Wing Mushrooms ,,44.5605282,-92.5273273,Suppliers,Goodhue
CannonBelles Cheese,,44.532918,-92.910953,Suppliers,Goodhue
Deborah Carpenter ,,44.471513,-92.86267,Suppliers,Goodhue
CJ Produce ,,44.39672,-92.887703,Suppliers,Goodhue
Boettcher's Maple Syrup,,44.6966415,-92.4599452,Suppliers,Pierce
Hinck Family Farm Produce,,44.458448,-92.4605755,Suppliers,Goodhue
Young Acres,,44.6993263,-92.6434723,Suppliers,Pierce
Kou Xiong ,,44.7044027,-93.2792882,Suppliers,Dakota
McCurdy Farm ,,44.5076461,-92.6531117,Suppliers,Goodhue
Twin Folk Farm ,,44.6546001,-92.5132562,Suppliers,Pierce
Driftless Orchard,,44.6511959,-92.5154825,Suppliers,Pierce
Vang Kong Produce ,,44.3857512,-93.3355271,Suppliers,Rice
Clear Spring Farm,,44.497843,-92.728829,Suppliers,Goodhue
River Road Honey ,,44.72679,-92.733562,Suppliers,Pierce
Sonia's Own Garlic ,,44.8369594,-92.6089045,Suppliers,Pierce
Swede Pickings ,,44.606157,-92.454206,Suppliers,Pierce
Oxheart Farm ,,44.650201,-92.530062,Suppliers,Pierce
Lavendar Barnyard ,,44.6244092,-93.1947944,Suppliers,Dakota
Kirk's Mushrooms,,44.5666507,-92.5217467,Suppliers,Goodhue
Daniel ,,44.5606471,-92.5273563,Suppliers,Goodhue
Peterson Produce,,44.293929,-91.990103,Suppliers,Wabasha
Schurhammer Sweet Corn ,,44.30796,-92.0206369,Suppliers,Wabasha
Notch View Farms ,,44.5693804,-92.0793517,Suppliers,Pepin
Howling Moon Orchard ,,44.415697,-92.254584,Suppliers,Wabasha
Hidden Stream Farm LLC,,44.1354948,-92.2110527,Suppliers,Wabasha
Lor Produce ,,44.7944198,-91.6492204,Suppliers,Eau Claire
Good Turn Farm,,44.5269213,-92.1916338,Suppliers,Pepin
D&S Gardens ,,44.483323,-92.111443,Suppliers,Pepin
M&R Valley Farm,,44.537532,-92.087326,Suppliers,Pepin
Fairview Farm,,44.174821,-92.0298509,Suppliers,Wabasha
MoonRise Farm,,44.494575,-91.965877,Suppliers,Pepin
Wescott Orchard,,44.1346054,-92.2320843,Suppliers,Wabasha
Churchill Reserve Grass-Fed Beef,,44.4268268,-92.9208531,Suppliers,Goodhue
Top Bee Produce,,47.5299252,-92.2371208,Suppliers,St. Louis
Alfred Smith's Farm,,47.4071013,-92.8714371,Suppliers,Itasca
Snapshot Farm,,47.3985044,-92.783684,Suppliers,St. Louis
Early Frost Farms,,47.64244,-92.226483,Suppliers,St. Louis
Prancing Pagan Farm,,47.8004101,-92.2765169,Suppliers,St. Louis
Karl's Bread,,47.459939,-92.692787,Suppliers,St. Louis
Geothermal Growers,,47.1693797,-92.4763004,Suppliers,St. Louis
Gardens and Gems by Liz,,47.8158812,-92.2383876,Suppliers,St. Louis
Food Farm,,46.5834062,-92.3831105,Suppliers,Carlton
Yker Acres,,46.600264,-92.514905,Suppliers,Carlton
Lindquist LLC,,47.8173596,-92.2334202,Suppliers,St. Louis
Orion's Harvest Farm,,46.8068852,-92.2382464,Suppliers,Douglas
Toad Hill Farm,,45.196079,-95.872007,Suppliers,Swift
Hawk Creek Farm,,44.761653,-95.427153,Suppliers,Chippewa
Kalliroe Farm,,44.9784945,-95.8726784,Suppliers,Chippewa
The Farm Of MN,,44.9749588,-94.3678854,Suppliers,McLeod
Nature's Economy Farm,,45.172316,-95.11257,Suppliers,Kandiyohi
Lundstrum Farm ,,44.8715113,-94.8341891,Suppliers,Renville
Guldan Family Farm,,44.2745226,-94.3938494,Suppliers,Brown
Bees and Greens,,45.2683749,-95.6253254,Suppliers,Swift
Carol Siedschlag Farm,,45.0113787,-96.1932176,Suppliers,Lac qui Parle
Mnyou Youth Farm,,45.1223711,-95.048659,Suppliers,Kandiyohi
Larson Farm,,45.1223711,-95.048659,Suppliers,Kandiyohi
Joe's Sandy Hill and Produce,,47.377719,-93.75445,Suppliers,Itasca
Kaossow Family Farm,,47.442718,-93.837558,Suppliers,Itasca
Dowell Farms and Gardens,,47.081529,-93.438513,Suppliers,Itasca
Bryndlewood Gardens,,47.202152,-93.562268,Suppliers,Itasca
ET Natural ,,47.1730322,-93.3842576,Suppliers,Itasca
Mapleridge Produce,,46.436571,-93.6430343,Suppliers,Aitkin
Buck Hills Farm,,46.511059,-93.523914,Suppliers,Aitkin
Clear Lake Gardens,,46.435525,-93.496752,Suppliers,Aitkin
Clayton's Produce ,,47.1486135,-93.5200729,Suppliers,Itasca
Food Farm,,46.5834062,-92.3831105,Suppliers,Carlton
Lorentzen Farm,,47.0009694,-93.2636945,Suppliers,Itasca
Rachel Newman,,47.2371658,-93.5302142,Suppliers,Itasca
AlliCat Farm,,46.4018104,-93.7388055,Suppliers,Aitkin
Archer Greens,,46.8815999,-96.7646672,Suppliers,Clay
Betty's Acres,,48.247582,-101.362119,Suppliers,Ward
Brendemuhl Produce,,47.0204484,-96.744355,Suppliers,Clay
Debs Corner Foods and Catering,,46.8771863,-96.7898034,Suppliers,Cass
Doubting Thomas Farms,,47.0281285,-96.7531858,Suppliers,Clay
Farmented Foods,,46.8771863,-96.7898034,Suppliers,Cass
Gottenborg Apple Orchard,,46.8632921,-95.9817183,Suppliers,Becker
Great Plains Greens,,46.8768966,-96.8712678,Suppliers,Cass
Heart and Soil Farm,,47.2369226,-97.001473,Suppliers,Traill
Huegs Gardens LLC,,47.3520415,-96.8271193,Suppliers,Norman
Nature's Roots Farm,,46.8085416,-96.8644953,Suppliers,Cass
New Roots Farm Incubator Coop,,46.8699036,-96.7667546,Suppliers,Clay
Nourished by Nature,,46.8457825,-100.6254717,Suppliers,Burleigh
Prairie Rose Farm LLC,,46.8699036,-96.7667546,Suppliers,Clay
Sawyer,,48.0887756,-101.0543194,Suppliers,Ward
Uncle Jesse's Produce,,46.1770506,-97.1549315,Suppliers,Richland
Tree-Range Farms,,44.4659021,-93.2518104,Suppliers,Rice
Ferris Family Farm,,45.5922,-93.3697896,Suppliers,Isanti
Agua Gorda Cooperative,,45.9744907,-94.8632667,Suppliers,Todd
Alaska Wild Fish Company,,46.0809742,-94.49152,Suppliers,Morrison
Austin's Acres,,45.565427,-94.5202363,Suppliers,Stearns
Backwards Bread Company,,45.5138777,-94.1679357,Suppliers,Benton
Barry's Cherries Hydroponic Produce,,46.3300899,-94.8108523,Suppliers,Wadena
Ben Penner Farms,,44.3175959,-93.9608593,Suppliers,Nicollet
"Bontrager, Alvin",,46.0632871,-94.9881496,Suppliers,Todd
"Bontrager, Eli",,46.1503308,-94.8962187,Suppliers,Todd
"Bontrager, Samuel",,46.141103,-94.993041,Suppliers,Todd
"Borntrager, Enos",,46.1820744,-94.9567024,Suppliers,Todd
"Borntrager, Joseph",,46.1350174,-94.983734,Suppliers,Todd
"Borntrager, Mose",,46.0194203,-94.954869,Suppliers,Todd
"Borntrager, Willard",,46.0641027,-94.9700585,Suppliers,Todd
"Borntreger, LeRoy",,46.0520691,-94.9166799,Suppliers,Todd
Boysnberries Farm,,46.3005065,-94.2310562,Suppliers,Crow Wing
Brakstad Natural Farms,,46.6156374,-94.3725579,Suppliers,Cass
Brambling Rows Berry Farm,,46.273671,-94.213718,Suppliers,Crow Wing
Carrillo Brothers Farm,,45.7044218,-93.8805103,Suppliers,Benton
Chengwatana Farms,,46.7022157,-93.5673502,Suppliers,Aitkin
Cookie & Vinnies Grass Fed Lamb,,46.227169,-94.627466,Suppliers,Todd
Cuperus Farm,,46.5677847,-95.0751755,Suppliers,Wadena
D & L Family Farm,,46.2778117,-93.4481247,Suppliers,Aitkin
Dancing the Land Farm,,45.4060809,-94.1532183,Suppliers,Stearns
DCBL Acres,,45.5957843,-94.5001109,Suppliers,Stearns
"Detloff, Lois",,46.2677046,-94.9186575,Suppliers,Todd
Dew Drop Farm,,46.5159514,-95.4243691,Suppliers,Wadena
Doubting Thomas Farms,,47.0281285,-96.7531858,Suppliers,Clay
Early Boots Farm,,45.8178113,-94.9535379,Suppliers,Todd
Emmerich's Produce,,45.619386,-94.4954289,Suppliers,Stearns
"Erickson, Deb",,46.3984877,-95.0121912,Suppliers,Wadena
Foothills Orchards & Gardens,,45.9185126,-94.3297525,Suppliers,Morrison
Forest Mushrooms,,45.6590757,-94.3413504,Suppliers,Stearns
Fox Farm,,46.0628829,-94.7822521,Suppliers,Todd
Grampa G’s,,46.539489,-93.876833,Suppliers,Crow Wing
Haffner Family Farm,,46.1099623,-95.1621419,Suppliers,Todd
Harmony Acres,,46.1380654,-95.0234329,Suppliers,Todd
Heritage Acres,,46.4115956,-95.1190475,Suppliers,Wadena
"Hershberg, Sarah",,46.3288719,-94.9470355,Suppliers,Wadena
Hilltop Produce,,46.1183603,-94.9513454,Suppliers,Todd
Hollister Family Farm,,46.226472,-94.127184,Suppliers,Crow Wing
Hughs Gardens LLC,,47.3520349,-96.827104,Suppliers,Norman
Iron Shoe Farm,,45.5428627,-93.6160062,Suppliers,Sherburne
Island Lake Farm,,46.3442838,-93.9136092,Suppliers,Crow Wing
"Kauffman, David",,46.1077636,-94.9512311,Suppliers,Todd
"Kauffman, John",,46.0533574,-94.9350474,Suppliers,Todd
"Kauffman, Joseph",,46.1369776,-94.950628,Suppliers,Todd
Kingdom Mushrooms,,45.5383813,-94.1613312,Suppliers,Benton
Kleinschmidt Farms,,46.2807313,-94.813839,Suppliers,Todd
Kroll Farm,,45.9835698,-94.8176807,Suppliers,Todd
"Lambright, Martha",,46.1069608,-95.0906178,Suppliers,Todd
Leinbach's Produce and More,,46.2158069,-94.7496397,Suppliers,Todd
Little Falls Microgreens,,46.0533127,-94.4360172,Suppliers,Morrison
"Maple Hills Orchard, LLC",,46.7595938,-95.7912876,Suppliers,Becker
Maple Ridge Produce,,46.436571,-93.6430343,Suppliers,Aitkin
Marquette Honey,,46.0530573,-94.3468856,Suppliers,Morrison
"Mast, Dan",,46.2522156,-95.0922712,Suppliers,Todd
"Mast, Joseph",,46.2189703,-95.1231234,Suppliers,Todd
"Mast, Rudy",,46.207891,-95.093652,Suppliers,Todd
MEADOW RIDGE FARM,,46.5956563,-94.3024808,Suppliers,Crow Wing
Mora Produce Co-Op,,45.838979,-93.1939374,Suppliers,Kanabec
My Alaska Seafood Connection,,45.0803279,-94.3083697,Suppliers,Meeker
Oasis Orchards,,46.27955,-94.8132289,Suppliers,Todd
Ole Lake Farm,,46.4148297,-93.6032837,Suppliers,Aitkin
Oma's Bread,,46.2700794,-95.0582115,Suppliers,Todd
Prairie Drifter Farm,,45.1268482,-94.5244151,Suppliers,Meeker
Rays Wild Rice,,46.252468,-94.1911499,Suppliers,Crow Wing
Red Truck Gardens & Crafts,,45.1906767,-93.4067704,Suppliers,Anoka
Ripley Esker,,46.1249047,-94.273847,Suppliers,Morrison
Roger's Berries,,46.321324,-93.903822,Suppliers,Crow Wing
Rolling Hills,,45.9836549,-94.1044004,Suppliers,Morrison
Rum Creek Farms,,46.0288411,-93.6232885,Suppliers,Mille Lacs
"Schlabach, Joseph",,46.102369,-95.0784187,Suppliers,Todd
"Schmucker, Simon",,46.038737,-95.0196789,Suppliers,Todd
"Schwartzentruber, William",,46.3094765,-94.9894613,Suppliers,Wadena
Sellers Farm,,46.3848717,-94.7919691,Suppliers,Wadena
Smude Sunflower Oil,,45.971145,-94.1136912,Suppliers,Morrison
Stone Hill Farms,,46.1410084,-94.8006937,Suppliers,Todd
Stony Creek Dairy,,45.5571869,-94.8402613,Suppliers,Stearns
Sundogs Prairie Farm,,46.038731,-95.53104,Suppliers,Douglas
Sunset Creek Farm ,,45.6299647,-94.5700048,Suppliers,Stearns
Tanglewood Fresh,,46.8854314,-96.7951249,Suppliers,Cass
The Egg Lady,,45.7499017,-94.2840979,Suppliers,Benton
The Farm on St. Mathias,,46.267175,-94.232895,Suppliers,Crow Wing
Triple H Acres,,45.7015985,-94.3579859,Suppliers,Stearns
"Yoder, Eddie",,46.1353587,-94.9486676,Suppliers,Todd
"Yoder, Fred",,46.6322244,-95.2156166,Suppliers,Wadena
"Yoder, Willie",,46.0638199,-94.9915451,Suppliers,Todd
Abdi-Mayfield Farm,,45.3485859,-92.7748664,Suppliers,Chisago
505 62nd St,,45.131491,-93.1145408,Suppliers,Anoka
"The Beez Kneez, LLC",,45.6661912,-92.6543708,Suppliers,Burnett
21161 York Rd,,44.8601368,-94.419716,Suppliers,McLeod
2488 US-12,,44.9627539,-92.301207,Suppliers,St. Croix
Braucher's Sunshine Harvest Farms,,44.5359849,-93.3062659,Suppliers,Rice
Cala Farm,,45.4029698,-92.0831221,Suppliers,Barron
Seeds Farm,,44.4201899,-93.1612069,Suppliers,Rice
9366 135th Ave NE,,45.7044218,-93.8805103,Suppliers,Benton
13442 270th St E,,44.5570128,-92.8343664,Suppliers,Goodhue
2007 Oakgreen Ave N,,44.9779019,-92.8217574,Suppliers,Washington
87080 Valley Rd,,46.833991,-90.8652819,Suppliers,Bayfield
2276 E Lake Jessie Rd SE,,45.8697778,-95.3033957,Suppliers,Douglas
Blackbrook Farm,,45.25931,-92.39822,Suppliers,Polk
Open hands farm,,44.486981,-93.149948,Suppliers,Rice
Spring Wind Farm,,44.4886991,-93.1549268,Suppliers,Rice
Driftless Organics,,43.3875811,-90.917931,Suppliers,Vernon
11225 County Rd 20,,44.9628426,-93.808647,Suppliers,Carver
23638 230th St,,45.963437,-94.872963,Suppliers,Todd
4115 310th Ave,,44.8445184,-95.8233776,Suppliers,Yellow Medicine
Big River Farms,,45.168529,-92.816191,Suppliers,Washington
7196 Bald Eagle Ln,,46.251474,-92.858687,Suppliers,Pine
Twin Organics,,44.5287409,-93.1820258,Suppliers,Rice
R&R Cultivation,,45.0407515,-93.3757309,Suppliers,Hennepin
10901 205th St E,,44.6519771,-92.8851679,Suppliers,Dakota
1218 Naples St,,45.7623225,-93.2425328,Suppliers,Kanabec
1554 267th 1/2 Ave NE,,45.4541185,-93.2311951,Suppliers,Isanti
Green Haven Farm Market,,45.307445,-93.7348474,Suppliers,Sherburne
Turnip Rock Farm,,45.247951,-92.355996,Suppliers,Polk
21937 E Bethel Blvd NE,,45.367646,-93.178588,Suppliers,Anoka
2510 Chicken Ridge Rd,,43.8146609,-91.4129511,Suppliers,Houston
Sogn Valley Farm,,44.42442,-92.944149,Suppliers,Goodhue
5645 200th St E,,44.6605149,-92.991757,Suppliers,Dakota
226 250th St,,44.893478,-92.296483,Suppliers,Pierce
3027 100th Ave,,45.0010649,-92.1909645,Suppliers,Dunn
16470 Blaine Ave,,44.710961,-93.0500522,Suppliers,Dakota
4635 165th St N,,45.1874608,-93.0124989,Suppliers,Anoka
1200 W Broadway ste 250,,44.9994058,-93.2960012,Suppliers,Hennepin
9901 Jamaica Ave S,,44.8057513,-92.9362646,Suppliers,Dakota
50817 203rd Ave,,44.2103411,-92.6314759,Suppliers,Olmsted
Betty’s fresh produce,,44.3462457,-93.1343181,Suppliers,Rice
Tuttie Fruitties,,45.168953,-92.817703,Suppliers,Washington
9600 Glendenning Rd,,44.8094203,-92.9342113,Suppliers,Dakota
1921 Neal Ave S,,44.9225091,-92.8418233,Suppliers,Washington
Orchards of Breezy Hill LLC,,45.208265,-94.062637,Suppliers,Wright
13835 51st Ave,,45.3235631,-94.2156529,Suppliers,Stearns
Fairhaven Farm,,45.3235153,-94.2162047,Suppliers,Stearns
Dawn2Dusk Farm,,45.6243779,-93.1754514,Suppliers,Isanti
Moritz Lane,,44.6762069,-92.0973419,Suppliers,Pepin
Lao Buddhist Temple of Minnesota,,44.618822,-93.2197901,Suppliers,Dakota
HAFA Farm,,44.6533317,-93.0059204,Suppliers,Dakota
16401 Blaine Ave,,44.7106652,-93.0551284,Suppliers,Dakota
16470 Blaine Ave,,44.7083059,-93.0520447,Suppliers,Dakota
4449 Independence Ave N,,45.0358935,-93.3998589,Suppliers,Hennepin
73072 327th Ave,,44.4408123,-92.3225535,Suppliers,Wabasha
Ferndale Market,,44.4933637,-92.9141915,Suppliers,Goodhue
16330 Flagstaff Ave W,,44.7129229,-93.1968588,Suppliers,Dakota
Shepherd's Way Farms,,44.3562762,-93.1282778,Suppliers,Rice
N3049 Nelson Ln,,44.520195,-92.209863,Suppliers,Pepin
6999 408th St,,44.3569208,-92.8919424,Suppliers,Goodhue
34103 Wabasha County Rd 72,,44.2872096,-92.3511298,Suppliers,Wabasha
12925 Prosperity Ave,,45.3843441,-93.865705,Suppliers,Sherburne
Waxwing Farm,,44.51766,-93.353706,Suppliers,Rice
3485 220th St E,,44.632601,-93.03553,Suppliers,Dakota
8677 Trail Haven Rd,,45.1130306,-93.5859925,Suppliers,Wright
B and D Farm,,44.5170839,-93.237123,Suppliers,Rice
W4815 850th Ave,,44.8462096,-92.369717,Suppliers,Pierce
Better Greens LLC,,45.063791,-93.87408,Suppliers,Wright
21716 Kenrick Ave,,44.6347674,-93.2926676,Suppliers,Scott
Donnelly Avenue & 200th Street East,,44.6591863,-93.0143481,Suppliers,Dakota
